countryindyear,count
"france, real estate, 1955",3
"lithuania, financial services, 1994",3
"united states, packaging and containers, 1974",16
"mexico, automotive, 1991",4
"denmark, consumer electronics, 1958",1
"egypt, telecommunications, 2004",5
"united states, mental health care, 1892",3
"spain, mining & metals, 1967",6
"belgium, military, 1946",1
"greece, professional training & coaching, 2014",3
"united states, architecture & planning, 1932",5
"denmark, arts and crafts, 2017",4
"canada, non-profit organization management, 1913",3
"united states, insurance, 1842",2
"denmark, investment management, 1999",2
"saudi arabia, investment management, 1990",1
"bangladesh, broadcast media, 2010",5
"united states, newspapers, 1872",11
"austria, information technology and services, 1993",11
"france, sports, 1973",2
"colombia, food & beverages, 2009",5
"united states, machinery, 1844",2
"united states, primary/secondary education, 1981",29
"saudi arabia, facilities services, 2006",3
"colombia, government administration, 1895",1
"norway, professional training & coaching, 2003",6
"france, luxury goods & jewelry, 1827",2
"netherlands, architecture & planning, 1968",6
"france, public safety, 1974",1
"china, entertainment, 2010",6
"japan, pharmaceuticals, 1890",1
"united states, restaurants, 1969",25
"south africa, insurance, 1997",2
"singapore, outsourcing/offshoring, 2015",1
"norway, information technology and services, 1977",1
"nepal, education management, 2013",8
"lithuania, public relations and communications, 2010",1
"india, accounting, 1935",1
"poland, automotive, 1886",1
"egypt, semiconductors, 2004",1
"portugal, oil & energy, 1999",3
"france, architecture & planning, 1973",6
"united states, newspapers, 1864",6
"spain, import and export, 1992",3
"united states, health, wellness and fitness, 1805",1
"belgium, building materials, 1986",5
"malta, computer games, 2007",1
"puerto rico, airlines/aviation, 1992",3
"netherlands, entertainment, 1990",6
"united kingdom, hospital & health care, 1974",9
"india, real estate, 1896",1
"spain, writing and editing, 2013",10
"united arab emirates, information services, 2018",1
"united states, consumer services, 1938",8
"argentina, food & beverages, 1981",2
"austria, automotive, 2000",3
"netherlands, construction, 1945",13
"united kingdom, oil & energy, 1946",1
"nigeria, airlines/aviation, 1997",3
"india, consumer goods, 2006",5
"italy, insurance, 1821",1
"dominican republic, logistics and supply chain, 1971",1
"united states, consumer electronics, 1927",2
"senegal, telecommunications, 1981",1
"france, management consulting, 1972",3
"united states, consumer goods, 1918",5
"paraguay, outsourcing/offshoring, 2002",3
"united states, consumer goods, 1901",3
"brazil, nanotechnology, 2016",1
"united kingdom, performing arts, 1982",6
"france, chemicals, 1850",1
"sweden, consumer goods, 1977",2
"united states, human resources, 1976",15
"uganda, consumer goods, 1946",1
"switzerland, hospitality, 1962",2
"japan, information technology and services, 1998",12
"india, mining & metals, 2015",13
"ecuador, insurance, 1990",1
"egypt, higher education, 2016",2
"mexico, oil & energy, 2006",3
"india, retail, 1984",2
"ecuador, leisure, travel & tourism, 1980",1
"france, dairy, 1985",1
"nigeria, logistics and supply chain, 2011",3
"hong kong, hospitality, 1973",1
