countryindyear,count
"denmark, legal services, 1999",3
"austria, gambling & casinos, 2004",1
"india, transportation/trucking/railroad, 1995",3
"france, restaurants, 2008",16
"italy, legal services, 2017",26
"finland, package/freight delivery, 2013",1
"peru, publishing, 2007",2
"china, motion pictures and film, 2010",3
"united states, writing and editing, 1992",18
"belgium, restaurants, 2017",5
"turkey, financial services, 2014",26
"new zealand, computer software, 2016",28
"luxembourg, arts and crafts, 2014",2
"luxembourg, media production, 2017",2
"india, machinery, 2013",12
"ireland, automotive, 1947",1
"argentina, photography, 2011",5
"italy, accounting, 2008",14
"ireland, photography, 2012",4
"brazil, biotechnology, 2009",8
"france, think tanks, 2005",5
"croatia, pharmaceuticals, 2011",1
"netherlands, import and export, 1929",1
"canada, security and investigations, 1997",15
"spain, construction, 2003",49
"india, capital markets, 1995",4
"turkey, restaurants, 2002",1
"sri lanka, automotive, 2006",1
"sweden, education management, 2017",12
"peru, consumer goods, 2012",1
"tunisia, mechanical or industrial engineering, 2013",1
"senegal, management consulting, 2016",5
"lebanon, computer software, 2016",9
"panama, commercial real estate, 2004",1
"nigeria, motion pictures and film, 2015",1
"argentina, environmental services, 2013",14
"united kingdom, wholesale, 1979",11
"turkey, building materials, 1996",13
"lebanon, chemicals, 2009",1
"india, think tanks, 2011",8
"china, semiconductors, 2001",8
"italy, arts and crafts, 1873",1
"croatia, banking, 1873",1
"colombia, research, 1999",4
"malta, airlines/aviation, 2012",3
"germany, graphic design, 2015",7
"macedonia, building materials, 2003",1
"united states, maritime, 2011",57
"bolivia, insurance, 1946",1
"france, market research, 2017",5
"luxembourg, human resources, 1992",1
"bangladesh, entertainment, 2014",3
"germany, building materials, 2015",8
"malaysia, professional training & coaching, 2009",10
"spain, insurance, 1996",8
"brazil, civic & social organization, 1988",5
"united states, recreational facilities and services, 1962",14
"spain, mining & metals, 1992",7
"spain, design, 1990",20
"spain, executive office, 2012",9
"austria, automotive, 2009",1
"germany, furniture, 2016",7
"cambodia, retail, 2008",3
"russia, telecommunications, 2002",9
"united arab emirates, human resources, 2015",26
"slovakia, sports, 2013",4
"switzerland, environmental services, 2011",8
"bulgaria, food & beverages, 1994",4
"cameroon, non-profit organization management, 2012",1
"norway, health, wellness and fitness, 2003",6
"netherlands, biotechnology, 2016",15
"mexico, insurance, 1983",3
"argentina, food & beverages, 2015",16
"seychelles, hospitality, 2010",1
"india, government relations, 2014",2
"luxembourg, education management, 2002",2
"spain, machinery, 2016",12
"cuba, design, 1980",1
"switzerland, mechanical or industrial engineering, 1960",4
"romania, packaging and containers, 2000",1
"puerto rico, internet, 2015",3
"finland, civil engineering, 1990",2
"germany, medical devices, 1932",3
"belgium, hospitality, 1943",1
"india, writing and editing, 2012",15
"south africa, retail, 2002",6
"italy, furniture, 1997",16
"australia, retail, 1998",23
"united states, management consulting, 1962",3
"united states, cosmetics, 1935",1
"australia, veterinary, 2013",5
"france, international trade and development, 2015",43
"austria, machinery, 2003",4
"malaysia, marketing and advertising, 2016",29
"new zealand, non-profit organization management, 1994",6
"portugal, newspapers, 2010",2
"saudi arabia, business supplies and equipment, 2002",2
"chile, food & beverages, 2014",20
"philippines, professional training & coaching, 2016",7
"united states, ranching, 1967",3
"philippines, real estate, 2015",14
"greece, marketing and advertising, 2008",19
"brazil, legal services, 1937",3
"kenya, information technology and services, 2008",29
"netherlands, arts and crafts, 1995",10
"russia, events services, 2005",4
"france, photography, 2008",23
"kuwait, investment management, 2017",1
"russia, translation and localization, 2012",7
"france, consumer services, 2009",17
"brazil, mechanical or industrial engineering, 1971",2
"mexico, railroad manufacture, 2014",1
"spain, publishing, 1963",1
"sweden, medical devices, 1999",6
"pakistan, insurance, 1971",1
"romania, electrical/electronic manufacturing, 2001",3
"spain, e-learning, 2005",15
"france, building materials, 1997",4
"switzerland, online media, 2007",1
"saudi arabia, consumer goods, 2014",1
"hungary, legal services, 2001",1
"netherlands, civil engineering, 2003",15
"poland, sports, 2017",9
"italy, food & beverages, 1996",13
"greece, management consulting, 1992",6
"australia, farming, 2017",3
"azerbaijan, political organization, 2009",1
"france, investment banking, 2016",7
"netherlands, research, 2009",31
"peru, legal services, 2013",5
"romania, commercial real estate, 2012",1
"indonesia, food & beverages, 1983",2
"bangladesh, outsourcing/offshoring, 2014",15
"italy, sporting goods, 1966",1
"argentina, restaurants, 1983",1
"bulgaria, entertainment, 2015",6
"turkey, music, 2008",3
