countryindyear,count
"belgium, publishing, 1992",2
"spain, management consulting, 1975",2
"pakistan, restaurants, 2006",2
"spain, investment management, 2003",7
"switzerland, environmental services, 2009",8
"ireland, consumer electronics, 1996",1
"austria, music, 2002",2
"thailand, farming, 2011",1
"greece, chemicals, 1988",2
"india, think tanks, 1996",2
"poland, motion pictures and film, 2005",3
"sweden, wine and spirits, 2009",2
"egypt, research, 2011",4
"indonesia, construction, 2007",5
"greece, staffing and recruiting, 2011",2
"netherlands, leisure, travel & tourism, 1964",3
"united arab emirates, industrial automation, 2010",3
"denmark, logistics and supply chain, 2004",2
"canada, non-profit organization management, 1908",2
"kenya, computer hardware, 2004",1
"mexico, broadcast media, 1988",2
"canada, dairy, 1998",1
"united states, military, 1981",4
"south africa, transportation/trucking/railroad, 2008",4
"philippines, non-profit organization management, 2006",5
"denmark, oil & energy, 1947",1
"china, photography, 2012",3
"israel, human resources, 2011",6
"netherlands, marketing and advertising, 1929",1
"italy, food production, 1961",2
"egypt, civic & social organization, 2009",3
"croatia, entertainment, 2013",2
"malta, marketing and advertising, 2015",13
"united arab emirates, investment management, 1985",1
"malta, computer games, 2014",2
"finland, legal services, 2017",3
"sweden, paper & forest products, 2010",2
"denmark, packaging and containers, 2002",2
"canada, government relations, 2002",4
"united kingdom, accounting, 1977",7
"greece, media production, 1999",4
"germany, consumer services, 2002",2
"peru, farming, 2005",2
"south korea, internet, 2013",7
"france, packaging and containers, 2005",5
"australia, machinery, 2003",4
"germany, farming, 2007",1
"pakistan, business supplies and equipment, 2015",3
"france, food production, 2004",16
"ukraine, internet, 1997",1
"brazil, food production, 1981",2
"netherlands, fund-raising, 2008",12
"united arab emirates, civil engineering, 1960",1
"canada, supermarkets, 2013",2
"egypt, photography, 1995",1
"botswana, leisure, travel & tourism, 1996",2
"romania, legal services, 2009",7
"liberia, environmental services, 2006",1
"netherlands, international affairs, 2002",1
"south africa, building materials, 1996",1
"romania, research, 2002",3
"panama, legal services, 2013",3
"united kingdom, insurance, 1937",2
"panama, renewables & environment, 2015",3
"south africa, international trade and development, 2004",3
"italy, building materials, 1876",1
"united states, entertainment, 1896",3
"spain, professional training & coaching, 1979",5
"jersey, automotive, 2017",1
"germany, biotechnology, 1960",1
"el salvador, mechanical or industrial engineering, 2008",1
"guatemala, design, 2013",1
"india, graphic design, 2000",6
"lebanon, human resources, 2017",1
"guernsey, real estate, 2013",2
"france, security and investigations, 1984",3
"switzerland, logistics and supply chain, 2012",4
"swaziland, marketing and advertising, 2012",1
"united kingdom, import and export, 1983",3
"namibia, financial services, 2015",1
"jersey, events services, 2017",1
"romania, oil & energy, 2011",6
"israel, luxury goods & jewelry, 2008",1
"france, electrical/electronic manufacturing, 1969",4
"brazil, pharmaceuticals, 1954",1
"united kingdom, pharmaceuticals, 1988",6
"belgium, broadcast media, 2005",5
"tunisia, utilities, 1984",1
"netherlands, real estate, 1957",2
"bulgaria, insurance, 2017",3
"cyprus, translation and localization, 2012",1
"portugal, accounting, 2016",3
"australia, maritime, 2010",5
"uzbekistan, marketing and advertising, 2016",1
"bolivia, higher education, 2013",2
"colombia, food production, 1988",1
"france, professional training & coaching, 1878",2
"costa rica, renewables & environment, 2015",1
"netherlands, printing, 2005",14
"malaysia, research, 2013",2
"saudi arabia, mining & metals, 2002",1
"canada, political organization, 1993",2
"spain, education management, 1976",6
"slovenia, fund-raising, 2012",1
"netherlands, political organization, 1997",3
"cambodia, supermarkets, 2014",1
"slovenia, primary/secondary education, 2010",1
"thailand, apparel & fashion, 1985",1
"portugal, packaging and containers, 2009",1
"iceland, media production, 2014",2
"sweden, farming, 2014",2
"uganda, non-profit organization management, 1999",1
"romania, sports, 2012",3
"uganda, computer software, 2009",3
"germany, information services, 2015",12
"uruguay, real estate, 1982",1
"canada, non-profit organization management, 1874",1
"monaco, entertainment, 2008",1
"united kingdom, computer hardware, 1981",2
"finland, internet, 1995",2
"hungary, public relations and communications, 2015",4
"poland, photography, 2005",1
"lithuania, medical practice, 2004",3
"china, textiles, 2011",4
"france, farming, 2012",9
"morocco, marketing and advertising, 1998",3
"georgia, retail, 2017",2
"luxembourg, online media, 2013",1
"chile, real estate, 1999",5
"fiji, electrical/electronic manufacturing, 1995",1
"italy, logistics and supply chain, 1991",7
"chile, food production, 2000",2
"nigeria, leisure, travel & tourism, 1994",1
"germany, automotive, 1926",4
"paraguay, insurance, 2010",1
"denmark, security and investigations, 2014",7
"austria, oil & energy, 2005",2
"bosnia and herzegovina, outsourcing/offshoring, 2017",1
"italy, chemicals, 1909",2
"brazil, chemicals, 2017",7
"qatar, leisure, travel & tourism, 1962",1
"netherlands antilles, real estate, 2012",1
"benin, telecommunications, 1999",1
"lebanon, computer software, 2017",2
"pakistan, graphic design, 2012",1
"hong kong, environmental services, 2010",1
"belgium, chemicals, 1990",2
"egypt, automotive, 1996",2
"italy, health, wellness and fitness, 1980",8
"australia, aviation & aerospace, 2013",7
"croatia, international trade and development, 2010",2
"united kingdom, furniture, 1994",15
"bahrain, investment management, 2007",2
"kenya, leisure, travel & tourism, 2014",9
"netherlands, electrical/electronic manufacturing, 1985",7
"lithuania, information services, 2014",3
"mauritius, real estate, 2010",2
"denmark, insurance, 2014",5
"syria, business supplies and equipment, 2007",1
"greece, electrical/electronic manufacturing, 2013",4
"italy, luxury goods & jewelry, 1966",2
"netherlands, maritime, 1974",5
"france, publishing, 1996",10
"hungary, health, wellness and fitness, 2010",8
"morocco, education management, 1994",1
"canada, medical practice, 1995",10
"belgium, information services, 2012",8
"australia, commercial real estate, 2014",9
"ghana, aviation & aerospace, 2016",1
"belgium, market research, 2004",5
"colombia, hospitality, 1991",1
"norway, utilities, 2002",1
"bulgaria, financial services, 2011",7
"bangladesh, design, 2012",5
"gibraltar, gambling & casinos, 2015",1
"india, accounting, 1988",6
"uruguay, food & beverages, 2011",4
"egypt, hospital & health care, 1994",1
"brazil, outsourcing/offshoring, 2017",8
"canada, food production, 1981",3
"united states, philanthropy, 1931",6
"switzerland, machinery, 1934",2
"chile, facilities services, 2013",5
"switzerland, investment banking, 2008",1
"uruguay, apparel & fashion, 2011",2
"chile, leisure, travel & tourism, 2005",4
"malaysia, oil & energy, 1985",5
"poland, graphic design, 2010",12
"singapore, mechanical or industrial engineering, 2013",3
"australia, international affairs, 2017",2
"bangladesh, computer & network security, 2008",1
"sweden, sports, 1972",1
"united arab emirates, renewables & environment, 2000",1
"canada, design, 1948",1
"russia, motion pictures and film, 2016",1
"philippines, higher education, 2010",1
"canada, logistics and supply chain, 1985",11
"philippines, business supplies and equipment, 1996",1
"mexico, medical practice, 2011",5
"tunisia, health, wellness and fitness, 2016",3
"israel, research, 2008",3
"canada, apparel & fashion, 1923",3
"slovenia, marketing and advertising, 2016",8
"russia, telecommunications, 1996",6
"thailand, accounting, 2004",1
"mexico, security and investigations, 2009",2
"bangladesh, information services, 2005",1
"kuwait, food & beverages, 2012",2
"south africa, education management, 2002",9
"turkey, logistics and supply chain, 1999",9
"philippines, renewables & environment, 2013",2
"peru, telecommunications, 2017",10
"turkey, renewables & environment, 1996",3
"germany, oil & energy, 1978",3
"costa rica, design, 2008",4
"germany, airlines/aviation, 2011",8
"cyprus, food & beverages, 2005",2
"poland, events services, 2012",9
"ghana, construction, 1988",1
"greece, music, 2003",1
"south africa, transportation/trucking/railroad, 2004",4
"australia, consumer services, 1992",7
"ireland, apparel & fashion, 2015",7
"bolivia, insurance, 1999",1
"chile, pharmaceuticals, 2016",1
"australia, plastics, 2010",1
"united arab emirates, information services, 1999",1
"guatemala, automotive, 1979",1
"iran, wholesale, 1988",1
"qatar, design, 2012",2
"ireland, leisure, travel & tourism, 2011",11
"greece, luxury goods & jewelry, 1996",2
"zambia, logistics and supply chain, 2014",1
"china, luxury goods & jewelry, 2015",2
"norway, facilities services, 1971",1
"singapore, restaurants, 2014",5
"belgium, maritime, 1999",3
"italy, music, 1991",3
"united states, professional training & coaching, 1947",4
"slovenia, mechanical or industrial engineering, 2003",1
"france, mechanical or industrial engineering, 1958",2
"italy, international trade and development, 1959",4
"south africa, printing, 2000",7
"estonia, retail, 2017",4
"italy, hospitality, 1959",1
"denmark, telecommunications, 2000",9
"spain, sporting goods, 2008",7
"albania, mechanical or industrial engineering, 2009",1
"turkey, cosmetics, 2016",10
"romania, restaurants, 2008",2
"croatia, higher education, 2000",1
"united kingdom, translation and localization, 1987",3
"canada, civic & social organization, 1992",10
"switzerland, animation, 2017",1
"belgium, food & beverages, 1997",3
"spain, restaurants, 1895",2
"switzerland, individual & family services, 1999",3
"malaysia, publishing, 2015",4
"switzerland, translation and localization, 2001",1
"singapore, pharmaceuticals, 1989",1
"gibraltar, venture capital & private equity, 2016",1
"united states, computer software, 1899",1
"united kingdom, apparel & fashion, 1959",3
"south korea, consumer electronics, 1998",1
"china, publishing, 2009",4
"canada, sports, 1875",1
"indonesia, building materials, 2004",3
"lebanon, construction, 1975",3
"costa rica, program development, 2010",1
"spain, ranching, 1982",2
"peru, machinery, 2004",2
"colombia, music, 2009",4
"denmark, logistics and supply chain, 2008",5
"netherlands, transportation/trucking/railroad, 1940",2
"india, information technology and services, 1987",26
"fiji, insurance, 2009",1
"united arab emirates, higher education, 1983",1
"israel, legal services, 2000",2
"dominican republic, education management, 1965",1
"peru, construction, 1996",5
"netherlands, chemicals, 1995",2
"france, gambling & casinos, 2007",2
"united states, investment banking, 1962",2
"australia, computer software, 1971",1
"united states, motion pictures and film, 1981",15
"portugal, professional training & coaching, 1995",4
"united states, entertainment, 1845",1
"costa rica, research, 1956",1
"luxembourg, transportation/trucking/railroad, 2005",1
"norway, industrial automation, 1984",1
"denmark, entertainment, 2002",2
"egypt, architecture & planning, 1957",2
"kenya, research, 1969",1
"uruguay, food production, 1960",1
"united arab emirates, packaging and containers, 1995",3
"peru, telecommunications, 2002",4
"finland, research, 1945",2
"spain, insurance, 1933",4
"indonesia, building materials, 1971",3
"saudi arabia, higher education, 2008",1
"saudi arabia, information technology and services, 1974",1
"malaysia, information technology and services, 1989",7
"indonesia, executive office, 2001",1
"cyprus, government administration, 1969",1
"germany, investment management, 1970",1
"united states, packaging and containers, 1958",10
"saudi arabia, legal services, 1964",1
"united states, newspapers, 1906",8
"indonesia, printing, 1999",1
"ukraine, information technology and services, 1990",3
"hungary, government administration, 2006",3
"united states, business supplies and equipment, 1936",9
"canada, human resources, 1963",1
"netherlands, facilities services, 1981",7
"brazil, logistics and supply chain, 1987",5
"fiji, airlines/aviation, 2012",3
"new zealand, construction, 1997",7
"united states, information services, 1965",3
"norway, online media, 1998",3
"ireland, airlines/aviation, 2017",5
"canada, gambling & casinos, 1993",1
"united states, building materials, 1897",4
"denmark, building materials, 1990",4
"australia, accounting, 1963",3
"hungary, insurance, 1991",2
"pakistan, design, 1981",1
"south africa, marketing and advertising, 1986",2
"vietnam, publishing, 1975",1
"indonesia, telecommunications, 1995",2
"australia, consumer goods, 1967",1
"portugal, wholesale, 1974",1
"canada, business supplies and equipment, 1974",9
"kenya, executive office, 1948",1
"australia, hospital & health care, 1889",1
"netherlands, media production, 1979",2
"canada, law practice, 1879",3
"japan, logistics and supply chain, 1919",1
"slovenia, chemicals, 1924",1
"canada, sports, 1926",2
"canada, architecture & planning, 1968",4
"malaysia, telecommunications, 2008",7
"turkey, military, 2005",1
"germany, marketing and advertising, 1956",1
"denmark, maritime, 1905",1
"china, architecture & planning, 1952",1
"united arab emirates, investment management, 1972",1
"india, higher education, 1991",4
"netherlands, human resources, 1967",1
"armenia, information technology and services, 2007",5
"portugal, sporting goods, 1976",2
"netherlands, human resources, 1973",1
"australia, research, 1945",1
"united states, law practice, 1900",10
"united states, food & beverages, 1847",1
"australia, tobacco, 1991",1
"denmark, utilities, 2016",3
"germany, events services, 1986",4
"united kingdom, airlines/aviation, 1931",2
"poland, electrical/electronic manufacturing, 1949",1
"sudan, higher education, 1992",1
"tanzania, renewables & environment, 2011",2
"indonesia, automotive, 2000",3
"netherlands, information technology and services, 1947",1
"denmark, human resources, 1992",3
"greece, information technology and services, 1983",6
"finland, newspapers, 1856",1
"belgium, wholesale, 1990",10
"sweden, design, 1949",1
"brazil, food & beverages, 1898",1
"spain, hospital & health care, 1960",4
"spain, management consulting, 1981",4
"panama, machinery, 1919",1
"indonesia, electrical/electronic manufacturing, 1982",2
"united states, government relations, 1836",1
"pakistan, financial services, 2011",9
"luxembourg, construction, 1972",1
"kyrgyzstan, market research, 1997",1
"slovenia, glass, ceramics & concrete, 1860",1
"france, real estate, 1980",11
"mexico, retail, 1952",3
"sweden, motion pictures and film, 1963",1
"brazil, real estate, 1956",3
"guatemala, non-profit organization management, 1988",1
"united kingdom, non-profit organization management, 1908",3
"spain, mining & metals, 1854",1
"south africa, events services, 1982",2
"denmark, automotive, 1946",3
"spain, pharmaceuticals, 1984",2
"egypt, computer software, 1985",3
"united states, computer hardware, 1973",4
"colombia, mining & metals, 1996",1
"jordan, individual & family services, 1984",1
"norway, electrical/electronic manufacturing, 1989",4
"turkey, cosmetics, 1959",1
"finland, mechanical or industrial engineering, 1941",1
"spain, cosmetics, 1963",1
"estonia, food & beverages, 2016",3
"south africa, design, 1998",7
"united states, telecommunications, 1916",2
"luxembourg, human resources, 1970",1
"bosnia and herzegovina, accounting, 1997",1
"netherlands, civil engineering, 1971",6
"montenegro, banking, 2015",1
"chile, industrial automation, 2013",4
"mexico, packaging and containers, 2010",1
"germany, education management, 1978",3
"turkey, chemicals, 2008",9
"latvia, higher education, 1950",1
"mauritius, information technology and services, 1992",2
"romania, environmental services, 2009",3
"united states, financial services, 1893",4
"costa rica, construction, 1996",3
"taiwan, e-learning, 1989",1
"indonesia, printing, 2001",2
"australia, textiles, 2013",2
"spain, food & beverages, 1908",1
"bulgaria, medical devices, 2001",1
"nigeria, food & beverages, 1994",1
"france, construction, 1963",6
"italy, public relations and communications, 1998",6
"pakistan, e-learning, 2008",2
"israel, human resources, 1985",1
"israel, internet, 1994",4
"south africa, maritime, 1997",2
"hungary, public policy, 1999",1
"jordan, professional training & coaching, 1990",1
"hungary, apparel & fashion, 2004",3
"greece, machinery, 2002",2
"netherlands, public safety, 1961",1
"norway, insurance, 2015",8
"netherlands, transportation/trucking/railroad, 2008",24
"austria, information technology and services, 1970",1
"romania, events services, 1999",1
"ireland, civic & social organization, 1979",2
"indonesia, photography, 2010",3
"finland, building materials, 1989",4
"china, plastics, 1997",10
"switzerland, events services, 2017",8
"canada, museums and institutions, 2017",2
"lithuania, professional training & coaching, 1995",2
"united kingdom, transportation/trucking/railroad, 1981",12
"sweden, industrial automation, 1963",2
"greece, professional training & coaching, 2009",2
"greece, research, 2012",4
"paraguay, research, 1990",1
"iceland, professional training & coaching, 2012",1
"pakistan, food & beverages, 2003",6
"united arab emirates, medical devices, 2009",4
"netherlands, food production, 1920",5
"czechia, retail, 1997",6
"poland, security and investigations, 2001",1
"united states, museums and institutions, 1916",7
"united states, fine art, 1860",1
"united states, medical practice, 1926",2
"finland, information technology and services, 1952",1
"netherlands antilles, information technology and services, 2003",2
"greece, accounting, 2007",2
"poland, medical practice, 2014",2
"kenya, outsourcing/offshoring, 2014",2
"united kingdom, insurance, 1905",2
"spain, warehousing, 2001",2
"portugal, consumer goods, 2012",7
"ecuador, translation and localization, 2007",1
"united arab emirates, management consulting, 1993",3
"singapore, airlines/aviation, 2017",2
"japan, international trade and development, 2018",1
"germany, computer & network security, 2009",12
"netherlands, non-profit organization management, 1963",2
"spain, import and export, 1979",1
"albania, health, wellness and fitness, 2014",1
"azerbaijan, mechanical or industrial engineering, 2000",1
"guatemala, telecommunications, 1972",1
"argentina, airlines/aviation, 1970",1
"united states, design, 1937",3
"south africa, machinery, 2002",2
"france, accounting, 1984",9
"south africa, oil & energy, 2003",6
"sweden, fine art, 2012",1
"nigeria, medical practice, 1983",1
"india, executive office, 2017",12
"united kingdom, transportation/trucking/railroad, 1990",19
"croatia, architecture & planning, 2016",2
"norway, fishery, 1946",1
"lithuania, logistics and supply chain, 1993",2
"philippines, education management, 2015",7
"poland, automotive, 2018",2
"portugal, public relations and communications, 2007",2
"south africa, chemicals, 2007",3
"uruguay, real estate, 2012",7
"spain, program development, 1976",1
"egypt, cosmetics, 2010",3
"mexico, media production, 2001",4
"united kingdom, defense & space, 1991",2
"hungary, restaurants, 2007",1
"mexico, alternative medicine, 2009",3
"austria, wholesale, 1906",1
"chile, design, 2003",1
"denmark, events services, 1954",1
"ukraine, banking, 1994",2
"norway, sports, 1931",1
"canada, import and export, 1947",1
"uruguay, investment banking, 2002",1
"south africa, photography, 2007",5
"india, medical practice, 2009",5
"romania, defense & space, 2016",1
"belgium, transportation/trucking/railroad, 1974",1
"oman, design, 2008",1
"armenia, education management, 2016",4
"costa rica, music, 2008",1
"british virgin islands, fine art, 1993",1
"egypt, renewables & environment, 2010",3
"turkey, legal services, 1998",2
"malaysia, executive office, 2013",1
"poland, broadcast media, 2007",2
"belgium, hospital & health care, 1982",7
"romania, consumer goods, 2006",2
"canada, printing, 1991",15
"luxembourg, government administration, 2001",1
"china, fund-raising, 1971",1
"bulgaria, fine art, 2012",1
"portugal, real estate, 2005",8
"belgium, accounting, 2002",7
"poland, building materials, 1976",2
"spain, machinery, 1892",1
"turkey, program development, 2005",3
"germany, higher education, 1992",3
"morocco, hospitality, 1992",2
"finland, music, 2007",6
"israel, publishing, 2014",3
"chile, education management, 2001",3
