countryindyear,count
"united states, primary/secondary education, 1829",1
"nigeria, wholesale, 2013",2
"united kingdom, real estate, 1950",3
"haiti, consumer goods, 2012",1
"united states, accounting, 1853",1
"switzerland, non-profit organization management, 1980",2
"south korea, venture capital & private equity, 1986",1
"hungary, chemicals, 1996",2
"macau, higher education, 1981",1
"montenegro, real estate, 2012",1
"ireland, fine art, 2012",2
"switzerland, hospitality, 1964",1
"hungary, education management, 1962",1
"lithuania, hospital & health care, 2011",1
"spain, publishing, 2017",8
"argentina, museums and institutions, 2012",1
"serbia, environmental services, 1993",1
"italy, printing, 1959",1
"united states, defense & space, 1910",1
"israel, luxury goods & jewelry, 1960",1
"united kingdom, sporting goods, 1860",1
"sudan, information technology and services, 2009",1
"ireland, environmental services, 2017",3
"italy, biotechnology, 1990",1
"turkey, program development, 1998",1
"united kingdom, philanthropy, 1943",1
"belgium, furniture, 1988",2
"latvia, real estate, 2018",1
"pakistan, chemicals, 1956",1
"iran, industrial automation, 2002",1
"saudi arabia, publishing, 2016",1
"senegal, food production, 2013",1
"switzerland, fund-raising, 2001",2
"colombia, photography, 2011",2
"costa rica, chemicals, 1980",1
"ukraine, insurance, 2005",2
"norway, fine art, 2011",1
"united arab emirates, market research, 2011",4
"chile, plastics, 2011",1
"ireland, wholesale, 1995",2
"romania, accounting, 1996",3
"canada, libraries, 1946",1
"peru, packaging and containers, 2008",1
"egypt, telecommunications, 2007",6
"dominican republic, investment banking, 2017",1
"fiji, mining & metals, 1998",1
"azerbaijan, internet, 2014",4
"singapore, public policy, 2017",1
"dominican republic, primary/secondary education, 1967",1
"mexico, cosmetics, 2005",2
"denmark, insurance, 1957",1
"south africa, construction, 1970",4
"moldova, education management, 1992",1
"croatia, renewables & environment, 2015",1
"peru, automotive, 1926",1
"austria, information services, 2018",2
"guinea-bissau, import and export, 1996",1
"saudi arabia, oil & energy, 1989",2
"oman, government relations, 2004",1
"italy, sports, 1987",6
"italy, higher education, 1984",6
"france, venture capital & private equity, 1872",1
"brazil, facilities services, 1908",1
"south africa, program development, 2005",3
"united kingdom, military, 1995",2
"italy, arts and crafts, 1998",3
"latvia, public relations and communications, 2016",2
"afghanistan, import and export, 2014",2
"ecuador, automotive, 1950",1
"russia, food & beverages, 2012",2
"malaysia, business supplies and equipment, 1985",1
"mexico, broadcast media, 1999",5
"ireland, publishing, 2008",3
"switzerland, individual & family services, 2005",2
"cyprus, broadcast media, 1998",1
"venezuela, paper & forest products, 2014",1
"uruguay, sports, 2015",1
"mexico, plastics, 2007",3
"croatia, renewables & environment, 2013",1
"germany, business supplies and equipment, 2011",2
"sweden, non-profit organization management, 1921",1
"malta, electrical/electronic manufacturing, 1989",1
"luxembourg, real estate, 2014",5
"iceland, real estate, 2015",2
"united states, alternative medicine, 1954",1
"bulgaria, furniture, 2015",1
"new zealand, consumer goods, 2000",3
"argentina, environmental services, 1991",5
"switzerland, museums and institutions, 1898",1
"peru, luxury goods & jewelry, 1984",1
"malaysia, logistics and supply chain, 2018",1
"japan, consumer electronics, 2017",1
"aruba, management consulting, 2006",1
"senegal, information services, 2011",1
"mexico, shipbuilding, 2008",1
"zimbabwe, photography, 2004",1
"malaysia, luxury goods & jewelry, 2013",1
"bulgaria, mechanical or industrial engineering, 1998",2
"singapore, animation, 2017",1
"china, wholesale, 1995",3
"zambia, renewables & environment, 2014",1
"mexico, design, 1980",2
"malaysia, maritime, 2017",1
"puerto rico, banking, 1972",2
"spain, wholesale, 1957",2
"netherlands, design, 1974",3
"sudan, real estate, 2010",1
"venezuela, civil engineering, 2015",2
"peru, machinery, 2007",5
"chile, nanotechnology, 2013",1
"lithuania, education management, 1997",1
"peru, transportation/trucking/railroad, 2005",4
"armenia, financial services, 2015",1
"netherlands, luxury goods & jewelry, 1917",2
"malaysia, industrial automation, 2016",1
"spain, motion pictures and film, 1980",1
"armenia, construction, 1995",1
"netherlands antilles, food & beverages, 2012",1
"russia, medical devices, 1989",1
"belgium, environmental services, 2005",3
"estonia, luxury goods & jewelry, 1923",1
"peru, civil engineering, 1992",2
"norway, capital markets, 2004",1
"hong kong, real estate, 1970",1
"france, insurance, 1963",1
"hungary, computer networking, 2016",1
"bangladesh, higher education, 2006",1
"united states, information services, 1962",3
"brazil, government administration, 1914",1
"jordan, automotive, 2015",1
"zimbabwe, market research, 2001",1
"puerto rico, media production, 2009",1
"italy, recreational facilities and services, 2005",1
"spain, automotive, 1964",5
"united kingdom, packaging and containers, 1890",1
"netherlands, accounting, 1972",4
"taiwan, events services, 2012",1
"zimbabwe, building materials, 2012",1
"united kingdom, medical practice, 2018",3
"tunisia, research, 2012",1
"lebanon, luxury goods & jewelry, 1964",1
"new zealand, fine art, 2006",1
"romania, sports, 2016",3
"colombia, performing arts, 2014",1
"south africa, law practice, 1932",2
"sweden, human resources, 1996",2
"georgia, program development, 2014",3
"sweden, philanthropy, 2017",3
"australia, real estate, 1918",2
"kenya, hospital & health care, 2006",2
"paraguay, civic & social organization, 1990",1
"ghana, automotive, 2017",1
"denmark, shipbuilding, 2002",2
"hungary, think tanks, 2010",1
"ireland, medical practice, 2002",7
"japan, import and export, 2002",1
"canada, shipbuilding, 1995",1
"nigeria, information technology and services, 1984",1
"togo, internet, 2017",1
"thailand, automotive, 1991",1
"vietnam, wireless, 2013",1
"brazil, mental health care, 2004",1
"singapore, financial services, 1995",4
"portugal, security and investigations, 2005",4
"uganda, utilities, 1972",1
"united states, outsourcing/offshoring, 1973",2
"france, maritime, 1974",1
"canada, farming, 1959",2
"nigeria, packaging and containers, 2014",1
"finland, financial services, 1992",1
"lithuania, plastics, 2012",1
"sweden, motion pictures and film, 1999",3
"syria, construction, 2008",2
"mexico, publishing, 1996",1
"south korea, electrical/electronic manufacturing, 1973",2
"denmark, insurance, 2007",2
"chile, mechanical or industrial engineering, 2017",4
"latvia, public relations and communications, 2004",1
"czechia, graphic design, 1984",1
"venezuela, events services, 1998",1
"united states, political organization, 1944",1
"united states, fishery, 2003",5
"norway, performing arts, 2004",1
"australia, apparel & fashion, 1922",1
"united states, shipbuilding, 1993",2
"kenya, construction, 2001",3
"new zealand, staffing and recruiting, 2001",6
"japan, apparel & fashion, 1985",1
"denmark, consumer services, 1999",1
"united arab emirates, civil engineering, 2013",2
"netherlands, civil engineering, 1975",4
"sweden, civic & social organization, 1910",1
"tunisia, non-profit organization management, 2012",2
"switzerland, civil engineering, 2001",1
"canada, machinery, 1950",4
"kazakhstan, information technology and services, 2001",5
"brazil, professional training & coaching, 1928",1
"switzerland, international affairs, 2018",1
"mauritius, professional training & coaching, 2011",2
"italy, business supplies and equipment, 1977",4
"australia, maritime, 1968",2
"tanzania, aviation & aerospace, 2014",1
"singapore, automotive, 2001",3
"chile, public safety, 2017",2
"sweden, telecommunications, 1942",1
"south africa, alternative dispute resolution, 2011",1
"denmark, primary/secondary education, 1976",1
"brazil, sports, 1900",2
"switzerland, defense & space, 1978",1
"united kingdom, recreational facilities and services, 1996",5
"south africa, facilities services, 2010",2
"hong kong, staffing and recruiting, 1995",2
"indonesia, medical practice, 1997",1
"germany, hospital & health care, 1953",1
"cambodia, investment management, 2007",2
"turkey, arts and crafts, 2006",1
"turkey, consumer electronics, 2011",3
"luxembourg, mental health care, 1987",1
"malta, plastics, 1996",1
"mexico, online media, 2018",1
"canada, entertainment, 1939",1
"ukraine, events services, 2002",2
"venezuela, construction, 1959",1
"nepal, consumer services, 2014",3
"belgium, law practice, 1981",1
"malta, wholesale, 2010",1
"nepal, information technology and services, 1997",1
"finland, consumer electronics, 1936",1
"slovakia, consumer goods, 1993",1
"brazil, mechanical or industrial engineering, 1954",5
"qatar, staffing and recruiting, 2017",1
"saudi arabia, hospital & health care, 2011",3
"brazil, religious institutions, 1933",1
"puerto rico, computer software, 1985",2
"japan, legal services, 2002",2
"switzerland, fine art, 2011",4
"austria, translation and localization, 1995",1
"belgium, textiles, 1815",1
"indonesia, primary/secondary education, 1943",1
"switzerland, accounting, 1962",1
"spain, medical devices, 1984",1
"switzerland, plastics, 1990",2
"czechia, printing, 1995",2
"russia, supermarkets, 2015",1
"iran, import and export, 2007",2
"new zealand, commercial real estate, 2003",1
"singapore, photography, 2008",4
"turkey, maritime, 1973",1
"panama, construction, 1941",1
"saudi arabia, transportation/trucking/railroad, 2011",2
"azerbaijan, consumer services, 2015",2
"hungary, railroad manufacture, 2005",1
"norway, defense & space, 1985",1
"spain, newspapers, 2006",2
"thailand, staffing and recruiting, 1993",1
"spain, maritime, 1923",1
"philippines, broadcast media, 2009",1
"iraq, international trade and development, 2003",1
"south africa, building materials, 1946",1
"botswana, hospitality, 1982",1
"belgium, banking, 1992",1
"taiwan, telecommunications, 1986",2
"hungary, oil & energy, 2001",1
"georgia, mining & metals, 2002",1
"sweden, venture capital & private equity, 2017",6
"kosovo, newspapers, 2010",1
"united kingdom, capital markets, 1991",1
"norway, broadcast media, 2015",2
"sweden, market research, 1980",1
"sweden, leisure, travel & tourism, 1932",2
"canada, supermarkets, 1955",1
"denmark, insurance, 1961",1
"netherlands, investment management, 1997",2
"moldova, internet, 2015",1
"italy, wine and spirits, 1895",1
"serbia, program development, 2014",1
"spain, mechanical or industrial engineering, 1884",1
"taiwan, cosmetics, 2008",1
"belgium, maritime, 1997",2
"bosnia and herzegovina, civic & social organization, 2014",3
"australia, civil engineering, 1959",2
"ecuador, higher education, 1996",1
"spain, hospitality, 1955",3
"venezuela, information technology and services, 1991",1
"taiwan, information technology and services, 2011",7
"brazil, renewables & environment, 1984",1
"chile, graphic design, 2018",1
"united states, textiles, 1888",3
"kuwait, architecture & planning, 2008",2
"bulgaria, telecommunications, 1990",2
"argentina, automotive, 2013",1
"denmark, architecture & planning, 1901",2
"austria, logistics and supply chain, 1973",1
"belgium, accounting, 1968",1
"germany, professional training & coaching, 1963",1
"slovenia, civic & social organization, 2016",1
"singapore, electrical/electronic manufacturing, 2005",5
"switzerland, utilities, 2001",2
"netherlands, shipbuilding, 2014",6
"spain, retail, 1956",1
"taiwan, renewables & environment, 2000",1
"united kingdom, oil & energy, 1964",2
"netherlands, alternative dispute resolution, 2014",11
"zimbabwe, education management, 1982",1
"chile, consumer goods, 1991",1
"ireland, apparel & fashion, 1992",1
"australia, insurance, 1968",2
"australia, banking, 2016",1
"moldova, computer software, 1993",1
"costa rica, events services, 2014",2
"czechia, pharmaceuticals, 1998",3
"brazil, legal services, 1969",8
"canada, government administration, 1996",7
"mexico, consumer goods, 1951",1
"zimbabwe, wholesale, 2011",1
"austria, law practice, 2018",1
"dominican republic, retail, 2009",1
"china, computer hardware, 1985",1
"united states, insurance, 1848",4
"tunisia, public relations and communications, 2016",1
"ireland, banking, 1836",1
"cambodia, hospitality, 2008",1
"united kingdom, education management, 1890",2
"new zealand, environmental services, 1998",2
"vietnam, construction, 2004",1
"belgium, industrial automation, 2004",7
"panama, management consulting, 2005",2
"pakistan, newspapers, 2014",3
"slovakia, renewables & environment, 2008",1
"switzerland, government administration, 1816",2
"zimbabwe, education management, 1987",1
"south africa, real estate, 1887",1
"canada, computer hardware, 1986",1
"united states, fine art, 1898",3
"malaysia, medical devices, 2009",2
"saudi arabia, food production, 1989",1
"russia, food production, 2009",4
"united states, computer games, 1950",1
"canada, non-profit organization management, 1880",1
"belgium, health, wellness and fitness, 1976",1
"vietnam, building materials, 2003",1
"united states, sports, 1869",1
"united states, mental health care, 1869",1
"united states, think tanks, 1952",1
"paraguay, marketing and advertising, 1994",1
"bangladesh, business supplies and equipment, 2012",3
"serbia, food production, 2002",1
"netherlands, machinery, 1901",2
"czechia, cosmetics, 2014",4
"united kingdom, hospitality, 1964",3
"namibia, construction, 2013",2
"tanzania, human resources, 2016",1
"angola, professional training & coaching, 2008",1
"spain, international affairs, 1984",1
"rwanda, hospitality, 2016",1
"new zealand, wholesale, 1997",2
"angola, real estate, 2012",1
"malaysia, insurance, 2017",1
"vietnam, furniture, 2002",3
