countryindyear,count
"china, machinery, 1986",13
"sweden, retail, 2005",18
"sweden, public relations and communications, 2017",15
"canada, sporting goods, 2012",13
"oman, construction, 2014",2
"lithuania, industrial automation, 1993",1
"united kingdom, photography, 2002",30
"greece, maritime, 2015",9
"canada, machinery, 1982",22
"australia, wine and spirits, 2011",6
"belgium, translation and localization, 2012",5
"belgium, mechanical or industrial engineering, 2013",17
"hungary, transportation/trucking/railroad, 2015",3
"mexico, real estate, 2014",39
"ireland, leisure, travel & tourism, 2008",8
"thailand, food production, 2002",1
"united arab emirates, real estate, 2016",44
"germany, international trade and development, 1984",3
"spain, events services, 1986",6
"germany, financial services, 2007",25
"italy, food & beverages, 1963",12
"china, dairy, 2000",1
"morocco, management consulting, 2004",4
"portugal, design, 1995",6
"spain, machinery, 2014",11
"france, automotive, 2017",18
"slovakia, marketing and advertising, 2009",14
"canada, wine and spirits, 2012",13
"italy, textiles, 1959",5
"ireland, computer software, 2000",8
"colombia, animation, 2017",2
"ukraine, media production, 2016",3
"china, transportation/trucking/railroad, 1990",3
"czechia, human resources, 2010",12
"denmark, program development, 2012",3
"sweden, venture capital & private equity, 2016",8
"mexico, recreational facilities and services, 2005",1
"malaysia, chemicals, 1983",1
"germany, plastics, 2003",4
"new zealand, insurance, 2010",6
"iran, food & beverages, 2015",7
"sweden, luxury goods & jewelry, 2014",3
"france, machinery, 1958",5
"singapore, professional training & coaching, 2010",13
"guatemala, broadcast media, 2011",2
"australia, international trade and development, 2016",6
"puerto rico, real estate, 1988",1
"italy, fine art, 2009",10
"brazil, legal services, 2006",40
"new zealand, retail, 2017",11
"south africa, renewables & environment, 2013",12
"canada, packaging and containers, 2007",9
"united states, alternative dispute resolution, 2017",15
"mexico, hospital & health care, 2012",16
"italy, animation, 2010",2
"canada, defense & space, 2018",1
"united kingdom, luxury goods & jewelry, 1989",3
"argentina, farming, 2016",11
"united states, facilities services, 1952",12
"united kingdom, luxury goods & jewelry, 1900",3
"india, printing, 2015",21
"singapore, motion pictures and film, 2016",1
"netherlands, aviation & aerospace, 2009",5
"brazil, sports, 2005",11
"cyprus, computer & network security, 2011",3
"nigeria, commercial real estate, 2014",2
"vietnam, human resources, 2012",1
"ireland, building materials, 2010",2
"united states, events services, 1971",17
"united states, fine art, 1919",2
"italy, construction, 1979",23
"norway, computer software, 1990",10
"portugal, glass, ceramics & concrete, 1970",1
"turkey, mechanical or industrial engineering, 2007",16
"new zealand, information technology and services, 1991",10
"ireland, professional training & coaching, 2015",11
"spain, entertainment, 1995",7
"poland, electrical/electronic manufacturing, 1988",4
"costa rica, information technology and services, 2002",5
"netherlands, music, 2001",15
"france, media production, 2007",70
"brazil, logistics and supply chain, 2014",36
"colombia, real estate, 2011",14
"canada, human resources, 1989",23
"netherlands, electrical/electronic manufacturing, 1951",3
"mauritius, construction, 2000",1
"argentina, broadcast media, 2009",7
"brazil, marketing and advertising, 1998",82
"switzerland, textiles, 2008",4
"hungary, consumer electronics, 2014",6
"united states, wholesale, 1938",17
"belgium, architecture & planning, 2001",11
"canada, international trade and development, 2008",14
"netherlands, translation and localization, 2013",9
"italy, financial services, 1999",20
"poland, sports, 2018",1
"denmark, human resources, 2009",23
"bangladesh, computer & network security, 2016",4
"new zealand, non-profit organization management, 2013",7
"greece, industrial automation, 1999",1
"romania, cosmetics, 2006",4
"united states, mining & metals, 1990",31
"russia, management consulting, 2001",9
"czechia, legal services, 2016",7
"china, automotive, 2008",25
"brazil, oil & energy, 2014",41
"united states, animation, 2015",43
"sweden, hospital & health care, 2012",17
"egypt, design, 2015",8
"united states, consumer electronics, 1991",29
"united kingdom, plastics, 1979",8
"denmark, automotive, 1938",1
"south africa, computer software, 2016",31
"finland, textiles, 1981",1
"czechia, broadcast media, 2013",2
"norway, marketing and advertising, 1986",1
"peru, food & beverages, 2012",13
"jamaica, information technology and services, 2009",4
"canada, sporting goods, 2017",15
"estonia, international trade and development, 2010",1
"argentina, professional training & coaching, 2010",13
"argentina, pharmaceuticals, 2008",3
"argentina, sports, 2015",9
"sweden, design, 2004",12
"argentina, insurance, 2016",8
"australia, medical devices, 2010",8
"honduras, real estate, 2016",1
"poland, furniture, 2017",3
"united kingdom, individual & family services, 2016",34
"australia, computer games, 2012",20
"serbia, industrial automation, 2008",1
"brazil, mechanical or industrial engineering, 1990",18
"united kingdom, motion pictures and film, 2018",12
"south africa, entertainment, 2010",13
"south africa, civil engineering, 2015",11
"sweden, marketing and advertising, 1995",18
"brazil, security and investigations, 2007",10
"bangladesh, textiles, 2014",3
"france, translation and localization, 2017",7
"china, mechanical or industrial engineering, 1985",8
"france, mental health care, 2016",5
"israel, renewables & environment, 2013",6
"united states, consumer services, 1975",54
"united kingdom, industrial automation, 2012",16
"australia, executive office, 2004",4
"china, medical devices, 1980",1
"malaysia, health, wellness and fitness, 2015",10
"bangladesh, business supplies and equipment, 2006",1
"germany, food & beverages, 1865",1
"argentina, mechanical or industrial engineering, 2009",8
"india, chemicals, 1992",14
"switzerland, industrial automation, 1967",1
"bahrain, human resources, 2017",2
"bulgaria, leisure, travel & tourism, 2002",2
"canada, fund-raising, 2004",9
"spain, retail, 2000",18
"ireland, leisure, travel & tourism, 2017",6
"kenya, food & beverages, 2010",3
"canada, printing, 2012",17
"ireland, construction, 2015",23
"switzerland, marketing and advertising, 2002",17
"norway, graphic design, 2016",9
"india, aviation & aerospace, 2017",9
"bulgaria, information technology and services, 2016",52
"france, architecture & planning, 1994",19
"austria, legal services, 1946",1
"france, international trade and development, 2002",11
"belgium, health, wellness and fitness, 2010",10
"italy, media production, 1978",1
"turkey, events services, 1948",1
"south africa, machinery, 2006",4
"bulgaria, health, wellness and fitness, 2017",2
"france, newspapers, 1999",10
"canada, alternative dispute resolution, 2017",4
"india, mental health care, 2017",7
"japan, renewables & environment, 2012",8
"iran, marketing and advertising, 2005",8
"france, printing, 2014",11
"philippines, consumer electronics, 2009",1
"spain, chemicals, 1981",5
"netherlands, writing and editing, 2007",12
"maldives, maritime, 2001",1
"uganda, international trade and development, 2008",3
"ecuador, photography, 2014",1
"turkey, design, 2007",15
"russia, sporting goods, 2012",1
"france, philanthropy, 2012",7
"united states, hospitality, 1934",10
"mexico, professional training & coaching, 1993",4
"singapore, professional training & coaching, 2007",12
"finland, accounting, 1977",2
"japan, building materials, 2006",1
"sweden, broadcast media, 2006",2
"united arab emirates, information services, 2012",6
"united states, performing arts, 1961",7
"spain, arts and crafts, 1939",1
"mexico, individual & family services, 2012",5
"zimbabwe, financial services, 2012",8
"lebanon, internet, 2013",4
