countryindyear,count
"mexico, media production, 2012",16
"finland, research, 2006",5
"estonia, education management, 2006",2
"russia, medical practice, 1888",1
"united states, fund-raising, 1965",2
"united states, non-profit organization management, 1853",10
"canada, utilities, 1912",2
"denmark, consumer goods, 2007",4
"united arab emirates, financial services, 1994",5
"germany, mining & metals, 1866",1
"australia, law practice, 1952",3
"united states, gambling & casinos, 1937",2
"united states, design, 1957",8
"united kingdom, higher education, 1841",1
"saudi arabia, non-profit organization management, 2004",4
"finland, mechanical or industrial engineering, 2009",7
"china, furniture, 1976",1
"germany, sporting goods, 1974",1
"united kingdom, education management, 1885",5
"trinidad and tobago, higher education, 1987",1
"portugal, accounting, 1992",5
"poland, sports, 2015",10
"spain, logistics and supply chain, 1983",5
"united states, law practice, 1882",7
"iran, marketing and advertising, 1987",1
"china, computer software, 2008",15
"china, machinery, 1973",4
"united states, business supplies and equipment, 1919",8
"united states, public policy, 1970",7
"india, market research, 1989",5
"saudi arabia, plastics, 1989",2
"canada, marketing and advertising, 1932",1
"netherlands, plastics, 1955",1
"singapore, hospitality, 1997",6
"spain, packaging and containers, 2014",4
"mexico, leisure, travel & tourism, 2004",11
"canada, insurance, 2004",19
"united states, aviation & aerospace, 1926",1
"bangladesh, real estate, 1996",2
"czechia, management consulting, 2014",24
"united kingdom, outsourcing/offshoring, 1972",1
"china, health, wellness and fitness, 2006",17
"sweden, hospitality, 2016",9
"united states, machinery, 1918",19
"pakistan, insurance, 2000",1
"south africa, entertainment, 2009",9
"united states, individual & family services, 1948",15
"germany, aviation & aerospace, 2015",10
"mongolia, textiles, 1993",1
"russia, human resources, 1989",2
"argentina, construction, 2012",20
"latvia, music, 1926",1
"germany, marketing and advertising, 1997",40
"india, security and investigations, 2003",7
"botswana, financial services, 2008",1
"romania, information technology and services, 1993",17
"myanmar, oil & energy, 2004",1
"france, government administration, 1990",4
"russia, semiconductors, 2001",1
"united states, machinery, 2018",16
"mexico, pharmaceuticals, 1996",2
"switzerland, research, 2010",10
"united states, newspapers, 1836",2
"singapore, outsourcing/offshoring, 1995",1
"venezuela, real estate, 2014",3
"mexico, food & beverages, 1962",1
"united kingdom, hospital & health care, 1961",2
