countryindyear,count
"spain, renewables & environment, 1986",10
"united states, museums and institutions, 1857",3
"france, oil & energy, 1953",2
"portugal, leisure, travel & tourism, 1962",1
"portugal, paper & forest products, 1991",1
"switzerland, education management, 1989",4
"united kingdom, capital markets, 2008",5
"suriname, insurance, 1991",1
"ireland, law practice, 1981",3
"australia, legal services, 1933",1
"india, motion pictures and film, 1960",1
"united states, newspapers, 1980",14
"iran, construction, 1973",1
"singapore, logistics and supply chain, 1984",1
"brazil, mining & metals, 1979",2
"netherlands, medical devices, 1925",1
"turkey, pharmaceuticals, 1999",5
"nigeria, higher education, 2011",4
"bermuda, insurance, 2015",1
"south africa, e-learning, 2006",5
"india, internet, 1997",9
"india, building materials, 1983",3
"hong kong, hospitality, 1995",3
"brazil, individual & family services, 1972",1
"philippines, outsourcing/offshoring, 2008",23
"pakistan, information technology and services, 1984",2
"greece, biotechnology, 1920",1
"philippines, consumer goods, 2008",2
"sri lanka, food & beverages, 1972",1
"germany, education management, 1979",2
"united states, logistics and supply chain, 1945",9
"bahamas, law practice, 1948",2
"mexico, legal services, 1978",4
"mozambique, logistics and supply chain, 2003",1
"united kingdom, civic & social organization, 1877",1
"netherlands, information services, 1979",1
"france, electrical/electronic manufacturing, 1978",10
"fiji, construction, 1966",1
"israel, electrical/electronic manufacturing, 1963",3
"spain, hospitality, 1954",3
"australia, political organization, 1994",1
"democratic republic of the congo, philanthropy, 1993",1
"united states, accounting, 1820",1
"poland, mining & metals, 1993",1
"costa rica, banking, 1987",1
"finland, management consulting, 1979",1
"malaysia, hospital & health care, 2005",2
"united kingdom, facilities services, 1957",3
"indonesia, semiconductors, 1999",1
"ireland, accounting, 1866",1
"united kingdom, education management, 1897",2
"portugal, security and investigations, 1990",1
"chile, law practice, 1988",1
"ecuador, higher education, 2013",1
"nigeria, textiles, 1960",1
"netherlands, staffing and recruiting, 1963",1
"georgia, information technology and services, 2001",1
"sweden, maritime, 1934",1
"canada, program development, 1993",2
"brazil, defense & space, 1986",2
"spain, newspapers, 1853",1
"portugal, paper & forest products, 1995",1
"france, business supplies and equipment, 1975",8
"united arab emirates, printing, 1974",1
"brazil, computer games, 2000",2
"cyprus, higher education, 2010",3
"sri lanka, telecommunications, 2007",2
"united states, program development, 1969",2
"south korea, internet, 1998",1
"brazil, glass, ceramics & concrete, 1971",1
"sweden, research, 1878",1
"belgium, logistics and supply chain, 1830",1
"united states, restaurants, 1968",9
"singapore, logistics and supply chain, 1992",4
"belgium, non-profit organization management, 1920",1
"netherlands, mechanical or industrial engineering, 1827",4
"norway, airlines/aviation, 2002",1
"israel, higher education, 1925",1
"france, commercial real estate, 1970",1
"australia, retail, 1900",1
"canada, packaging and containers, 1905",1
"indonesia, banking, 1971",1
"mexico, automotive, 1964",1
"oman, maritime, 2002",1
"united states, law practice, 1863",3
"uruguay, primary/secondary education, 1935",2
"romania, banking, 1993",4
"united states, law practice, 1925",15
"united kingdom, broadcast media, 1973",2
"brazil, ranching, 1944",1
"canada, mining & metals, 1955",4
"brazil, restaurants, 1977",2
"colombia, information technology and services, 1988",11
"canada, professional training & coaching, 1980",7
"south africa, banking, 1999",2
"france, higher education, 1954",2
"puerto rico, wholesale, 1914",1
"united states, music, 1946",14
"russia, government relations, 1995",1
"egypt, education management, 1986",1
"netherlands, chemicals, 1997",6
"cyprus, telecommunications, 2006",1
"australia, political organization, 1891",1
"brazil, education management, 1941",2
"macedonia, mechanical or industrial engineering, 1960",1
"argentina, cosmetics, 1987",2
"france, higher education, 2002",4
"switzerland, machinery, 1974",3
"united states, consumer goods, 1867",3
"south korea, industrial automation, 2000",2
"united arab emirates, hospitality, 1982",3
"china, information technology and services, 1993",3
"turkey, defense & space, 1997",4
"slovakia, security and investigations, 1992",3
"netherlands, sports, 1912",5
"ireland, apparel & fashion, 2006",1
"united kingdom, logistics and supply chain, 1977",10
"malta, management consulting, 2008",3
"united kingdom, airlines/aviation, 1929",3
"united states, insurance, 1867",7
"canada, import and export, 1911",1
"united states, warehousing, 1970",4
"nigeria, food & beverages, 2005",1
"turkey, building materials, 2015",8
"united kingdom, renewables & environment, 1926",1
"denmark, civic & social organization, 1956",2
"pakistan, logistics and supply chain, 2000",2
"pakistan, logistics and supply chain, 2005",4
"colombia, furniture, 1984",1
"egypt, automotive, 2005",3
"sweden, real estate, 1987",9
"norway, marketing and advertising, 1993",6
"united kingdom, consumer electronics, 1946",1
"united arab emirates, computer software, 2000",7
"netherlands, banking, 1990",2
"malaysia, information technology and services, 1971",1
"switzerland, mechanical or industrial engineering, 1898",1
"brazil, research, 1984",2
"serbia, banking, 2002",1
"sweden, plastics, 1969",2
"germany, marketing and advertising, 1984",6
"czechia, utilities, 1998",1
"brazil, research, 1978",1
"netherlands, retail, 1937",3
"singapore, publishing, 1981",2
"malaysia, utilities, 1993",3
"france, defense & space, 1988",1
"israel, consumer goods, 1963",1
"spain, higher education, 1962",2
"brazil, graphic design, 1978",1
"denmark, industrial automation, 1974",6
"australia, computer software, 1979",4
"colombia, financial services, 1959",2
"canada, higher education, 1969",12
"portugal, chemicals, 1954",1
"united states, libraries, 1950",4
"bahrain, automotive, 1998",1
"united states, performing arts, 1922",5
"united states, mining & metals, 1908",7
"cyprus, food production, 1993",1
"france, printing, 1876",1
"united states, newspapers, 1842",2
"france, banking, 1934",1
"greece, telecommunications, 1992",2
"sweden, marketing and advertising, 1990",6
"greece, maritime, 1967",1
"spain, plastics, 1982",3
"united states, fishery, 1974",2
"turkey, construction, 1986",18
"united states, military, 1850",1
"ireland, e-learning, 2010",5
"spain, religious institutions, 2006",1
"united states, food production, 1922",11
"united kingdom, paper & forest products, 1987",2
"singapore, chemicals, 2005",2
"italy, utilities, 1969",2
"india, oil & energy, 1966",1
"france, outsourcing/offshoring, 1978",2
"switzerland, civil engineering, 1927",1
"south africa, accounting, 1992",3
"australia, education management, 1848",1
"france, market research, 1996",5
"ireland, biotechnology, 1986",1
"united states, leisure, travel & tourism, 1918",2
"united states, medical devices, 1911",2
"united states, individual & family services, 1946",9
"china, commercial real estate, 2009",2
"canada, animation, 2011",13
"united states, retail, 1914",13
"united states, shipbuilding, 1938",2
"united states, biotechnology, 1958",1
"nepal, internet, 2009",1
"iran, oil & energy, 1981",3
"venezuela, architecture & planning, 1993",2
"maldives, hospitality, 2013",3
"united states, executive office, 1887",1
"malta, aviation & aerospace, 2008",1
"indonesia, pharmaceuticals, 1971",1
"brazil, packaging and containers, 1979",5
"sweden, architecture & planning, 1987",4
"indonesia, chemicals, 1969",1
"russia, accounting, 2013",5
"united kingdom, furniture, 1904",1
"denmark, professional training & coaching, 1890",1
"lebanon, wholesale, 1970",1
"peru, transportation/trucking/railroad, 1973",1
"singapore, hospitality, 1980",1
"spain, computer & network security, 1992",3
"el salvador, information technology and services, 1913",1
"bangladesh, information technology and services, 1997",6
"curaçao, education management, 1979",1
"norway, non-profit organization management, 1956",2
"new zealand, primary/secondary education, 1916",1
"india, think tanks, 1994",3
"chile, architecture & planning, 1978",1
"canada, civic & social organization, 1940",1
"spain, medical practice, 1984",1
