countryindyear,count
"egypt, retail, 2007",1
"united states, construction, 1927",59
"denmark, leisure, travel & tourism, 2012",13
"brunei, food & beverages, 1975",1
"australia, insurance, 2013",19
"united arab emirates, consumer services, 1992",1
"united arab emirates, business supplies and equipment, 2014",9
"thailand, marketing and advertising, 2014",20
"spain, wine and spirits, 1998",8
"poland, venture capital & private equity, 2010",5
"indonesia, computer software, 2007",9
"portugal, internet, 2011",28
"france, investment management, 2011",25
"spain, airlines/aviation, 2015",27
"côte d’ivoire, maritime, 2002",1
"canada, restaurants, 1989",7
"united states, professional training & coaching, 1964",27
"brazil, retail, 1978",9
"cyprus, marketing and advertising, 2014",10
"latvia, hospital & health care, 2013",2
"netherlands, music, 2008",40
"belgium, construction, 2009",37
"sweden, apparel & fashion, 2010",11
"pakistan, photography, 2011",2
"spain, photography, 2015",39
"netherlands, automotive, 1967",13
"vietnam, music, 2014",1
"luxembourg, electrical/electronic manufacturing, 1993",1
"greece, information technology and services, 2004",30
"new zealand, food & beverages, 2008",13
"malaysia, events services, 2009",5
"canada, food production, 2000",14
"brazil, libraries, 2017",1
"china, leisure, travel & tourism, 2014",17
"united states, motion pictures and film, 1995",39
"netherlands, market research, 2012",9
"peru, program development, 2012",6
"netherlands, sports, 1972",10
"united states, publishing, 1957",9
"united states, hospitality, 1963",34
"portugal, computer hardware, 2014",7
"sweden, civic & social organization, 2015",15
"south africa, financial services, 2017",43
"south africa, mechanical or industrial engineering, 2015",12
"guyana, sports, 2011",1
"turkey, program development, 2011",3
"poland, motion pictures and film, 2014",10
"canada, furniture, 2015",27
"azerbaijan, information technology and services, 2005",4
"australia, environmental services, 1999",17
"united states, architecture & planning, 1843",1
"france, civic & social organization, 1986",7
"finland, management consulting, 2014",47
"united states, international trade and development, 1989",23
"denmark, staffing and recruiting, 2017",14
"ghana, law practice, 2007",1
"united states, program development, 1998",20
"ghana, publishing, 2012",1
"canada, transportation/trucking/railroad, 1977",9
"united kingdom, luxury goods & jewelry, 2003",11
"australia, program development, 2012",4
"hungary, wholesale, 2004",1
"united states, food production, 1978",34
"united states, higher education, 1936",8
"hong kong, e-learning, 2015",8
"netherlands, e-learning, 2011",24
"spain, law practice, 2005",23
"colombia, real estate, 2007",9
"argentina, management consulting, 1998",10
"united states, think tanks, 2012",94
"czechia, consumer goods, 2014",4
"united states, law practice, 1874",4
"spain, accounting, 2009",19
"sweden, non-profit organization management, 2014",17
"mexico, hospital & health care, 2015",11
"united arab emirates, food & beverages, 2014",38
"russia, farming, 2015",1
"canada, leisure, travel & tourism, 1996",18
"canada, investment management, 2013",27
"argentina, management consulting, 2010",61
"lithuania, legal services, 2004",3
"italy, mechanical or industrial engineering, 2005",34
"serbia, management consulting, 1993",1
"norway, plastics, 1999",1
"united kingdom, legal services, 2013",128
"russia, computer games, 2011",6
"australia, non-profit organization management, 2008",30
"south africa, hospitality, 2006",15
"vietnam, non-profit organization management, 2009",6
"poland, transportation/trucking/railroad, 2016",7
"taiwan, consumer electronics, 2011",2
"united states, health, wellness and fitness, 1944",8
"lebanon, internet, 2012",6
"argentina, events services, 2000",10
"sweden, publishing, 2010",9
"brazil, electrical/electronic manufacturing, 2002",11
"israel, media production, 2002",1
"united states, legal services, 1994",140
"czechia, internet, 2011",26
"finland, legal services, 2013",5
"united kingdom, music, 2003",28
"cyprus, public policy, 2011",2
"croatia, computer software, 2014",18
"united kingdom, consumer electronics, 2018",2
"australia, renewables & environment, 2004",12
"denmark, music, 1991",1
"venezuela, program development, 2012",7
"netherlands, information services, 1901",1
"united states, online media, 2002",57
"bulgaria, consumer services, 2015",2
"netherlands, food production, 2012",26
"south africa, internet, 2013",30
"romania, construction, 1997",9
"france, wine and spirits, 2007",11
"canada, automotive, 1991",27
"australia, sports, 1940",1
"bulgaria, marketing and advertising, 2014",27
"indonesia, consumer goods, 1980",1
"united states, market research, 1995",38
"united kingdom, investment management, 2003",38
"canada, nanotechnology, 1980",1
"ukraine, consumer goods, 2015",1
"canada, higher education, 2013",24
"netherlands, chemicals, 2013",10
"italy, government relations, 2000",2
"united states, wholesale, 1999",102
"canada, events services, 1999",24
"norway, business supplies and equipment, 2016",7
"canada, furniture, 1945",1
"united kingdom, arts and crafts, 2015",46
"spain, public relations and communications, 2002",8
"belgium, food & beverages, 2009",11
"spain, publishing, 2004",7
"china, computer software, 2015",30
"sweden, motion pictures and film, 2016",7
"south africa, medical devices, 2015",3
"denmark, furniture, 2014",12
"italy, retail, 2008",19
"united states, government administration, 1801",4
"switzerland, luxury goods & jewelry, 2011",14
"india, import and export, 2006",18
"new zealand, security and investigations, 2010",3
"brazil, packaging and containers, 2014",3
"ecuador, marketing and advertising, 2008",16
"spain, construction, 1970",14
"switzerland, music, 2006",5
"united states, individual & family services, 1988",71
"united arab emirates, e-learning, 2008",1
"chile, farming, 2012",4
"chile, entertainment, 2015",5
"turkey, music, 2009",5
"netherlands, building materials, 1992",12
"bolivia, media production, 2014",1
"ecuador, restaurants, 2011",1
"greece, photography, 2013",2
"vietnam, marketing and advertising, 2016",21
"hong kong, design, 2014",17
"united kingdom, airlines/aviation, 2005",23
"bulgaria, accounting, 2000",1
"france, think tanks, 2001",2
"mexico, internet, 1995",3
"bahrain, internet, 2011",1
"slovenia, machinery, 1950",1
"canada, logistics and supply chain, 2001",12
"mozambique, transportation/trucking/railroad, 2015",1
"china, automotive, 2012",29
"morocco, accounting, 2013",4
"cameroon, translation and localization, 2010",1
"netherlands, information technology and services, 1982",13
"netherlands, publishing, 1979",3
"italy, computer games, 2010",8
"united kingdom, museums and institutions, 2014",16
"sweden, business supplies and equipment, 2004",2
"sri lanka, human resources, 2015",3
"peru, real estate, 2017",9
"united kingdom, building materials, 2007",27
"kenya, security and investigations, 2012",1
"netherlands, business supplies and equipment, 2017",4
"mexico, information services, 1990",2
"argentina, internet, 2001",18
"australia, medical devices, 2016",5
"united kingdom, hospital & health care, 2010",102
"mexico, chemicals, 2010",5
"swaziland, import and export, 2006",1
"mongolia, civil engineering, 1998",1
"germany, medical devices, 1990",11
"turkey, mining & metals, 2011",12
"sweden, sports, 1912",3
"zimbabwe, information technology and services, 2004",5
"luxembourg, leisure, travel & tourism, 2014",1
"mexico, law practice, 2012",14
"brazil, architecture & planning, 2018",1
"china, packaging and containers, 1986",3
"china, automotive, 1994",7
