ID,latitude,longitude,company,coordinate,inception,industry,URL,id_industry,id_country,country,company_foundation,text
3049820,32.72028,-117.15806,El Cortez Apartment Hotel,Point(-117.158056 32.720278),1927-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3049820,,http://www.wikidata.org/entity/Q30,United States of America,1927,COMPANY: El Cortez Apartment Hotel<br>COUNTRY: United States of America<br>FOUNDATION: 1927
3052154,32.71639,-117.16695,Emerald Plaza,Point(-117.166944444 32.716388888),1991-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3052154,,http://www.wikidata.org/entity/Q30,United States of America,1991,COMPANY: Emerald Plaza<br>COUNTRY: United States of America<br>FOUNDATION: 1991
3061807,43.7202,7.27307,Palais Regina,Point(7.27307 43.7202),,,http://www.wikidata.org/entity/Q3061807,,http://www.wikidata.org/entity/Q142,France,,COMPANY: Palais Regina<br>COUNTRY: France<br>FOUNDATION: nan
3062297,39.494446,-0.4011111,Hilton Valencia,Point(-0.40111111 39.49444444),2006-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3062297,,http://www.wikidata.org/entity/Q29,Spain,2006,COMPANY: Hilton Valencia<br>COUNTRY: Spain<br>FOUNDATION: 2006
3062720,64.17757,-51.73416,Hotel Hans Egede,Point(-51.7341628 64.1775697),,,http://www.wikidata.org/entity/Q3062720,,http://www.wikidata.org/entity/Q223,Greenland,,COMPANY: Hotel Hans Egede<br>COUNTRY: Greenland<br>FOUNDATION: nan
3063149,10.773056,106.70611,Hotel Majestic,Point(106.70611111 10.77305556),1925-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3063149,,http://www.wikidata.org/entity/Q881,Vietnam,1925,COMPANY: Hotel Majestic<br>COUNTRY: Vietnam<br>FOUNDATION: 1925
3064551,46.4384,6.9071,Hotel Fairmont Le Montreux Palace,Point(6.9071 46.4384),,,http://www.wikidata.org/entity/Q3064551,,http://www.wikidata.org/entity/Q39,Switzerland,,COMPANY: Hotel Fairmont Le Montreux Palace<br>COUNTRY: Switzerland<br>FOUNDATION: nan
3066336,40.752777,-73.99389,New Yorker Hotel,Point(-73.993889 40.752778),,,http://www.wikidata.org/entity/Q3066336,,http://www.wikidata.org/entity/Q30,United States of America,,COMPANY: New Yorker Hotel<br>COUNTRY: United States of America<br>FOUNDATION: nan
3074865,61.496113,23.766666,Hotel Ilves,Point(23.766666666 61.496111111),,,http://www.wikidata.org/entity/Q3074865,,http://www.wikidata.org/entity/Q33,Finland,,COMPANY: Hotel Ilves<br>COUNTRY: Finland<br>FOUNDATION: nan
3079995,30.0362,31.2297,Four Seasons Hotel Cairo at Nile Plaza,Point(31.2297 30.0362),1999-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q3079995,,http://www.wikidata.org/entity/Q79,Egypt,1999,COMPANY: Four Seasons Hotel Cairo at Nile Plaza<br>COUNTRY: Egypt<br>FOUNDATION: 1999
